coffee_id,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points
#797281,8,7.83,7.75,7.67,7.58,7.83,10,10,10,7.92,0,84.58
#760524,7.75,7.92,7.83,7.75,7.75,7.75,10,10,10,7.75,0,84.5
#409732,7.92,7.83,7.75,7.92,7.58,7.67,10,10,10,7.83,0,84.5
#439097,8.08,7.92,7.75,7.83,7.5,7.58,10,10,10,7.83,0,84.5
#462111,8.33,8.17,8.08,8,7.83,8.25,10,10,10,8.25,0,86.92
#741289,7.75,7.83,7.67,7.83,7.75,7.75,10,10,10,7.92,0,84.5
#748155,7.83,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84.5
#231917,7.83,8,7.5,7.75,7.75,7.75,10,10,10,7.83,0,84.42
#510790,7.83,7.75,7.58,7.92,8,7.5,10,10,10,7.75,0,84.33
#237025,7.67,7.83,7.75,7.75,7.83,7.75,10,10,10,7.75,0,84.33
#489089,7.92,7.83,7.75,7.92,7.5,7.67,10,10,10,7.75,0,84.33
#203399,7.83,7.83,7.83,7.83,7.67,7.67,10,10,10,7.67,0,84.33
#955194,7.92,7.92,7.58,7.75,7.58,7.67,10,10,10,7.83,0,84.25
#797284,7.67,7.92,7.67,7.75,7.75,7.75,10,10,10,7.75,0,84.25
#586625,7.67,7.67,7.83,7.83,7.67,7.75,10,10,10,7.83,0,84.25
#918509,8.25,8.25,8.17,8,7.92,8.08,10,10,10,8.08,0,86.75
#781706,7.58,7.92,7.67,7.75,7.83,7.75,10,10,10,7.75,0,84.25
#176177,7.75,7.75,7.58,7.83,7.75,7.75,10,10,10,7.75,0,84.17
#988330,7.92,7.75,7.67,7.75,7.75,8,9.33,10,10,7.92,0,84.08
#882894,7.75,7.67,7.67,7.75,7.75,7.75,10,10,10,7.75,0,84.08
#114041,7.83,7.92,7.83,7.58,7.58,7.67,10,10,10,7.67,0,84.08
#902618,7.67,7.83,7.67,7.83,7.75,7.67,10,10,10,7.67,0,84.08
#605124,7.75,7.58,7.58,7.92,7.67,7.75,10,10,10,7.75,0,84
#932904,7.67,7.92,7.67,7.75,7.67,7.58,10,10,10,7.75,0,84
#119514,7.67,7.83,7.58,7.92,7.67,7.67,10,10,10,7.67,0,84
#529473,7.75,7.75,7.75,7.67,7.75,7.67,10,10,10,7.67,0,84
#740616,8.08,8.08,8.25,8.08,7.92,8,10,10,10,8.25,0,86.67
#791934,8,7.75,7.5,7.67,7.67,7.67,10,10,10,7.75,0,84
#778301,7.58,7.67,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84
#903758,7.83,7.83,7.58,7.67,7.67,7.58,10,10,10,7.75,0,83.92
#820121,7.67,7.92,7.58,7.75,7.67,7.58,10,10,10,7.75,0,83.92
#927000,7.58,7.83,7.58,7.75,7.67,7.75,10,10,10,7.75,0,83.92
#279151,7.75,7.67,7.58,7.75,7.75,7.67,10,10,10,7.75,0,83.92
#187142,7.67,7.92,7.58,7.58,7.58,7.75,10,10,10,7.75,0,83.83
#849802,7.67,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,83.83
#656708,7.83,7.67,7.5,7.92,7.5,7.67,10,10,10,7.75,0,83.83
#858598,7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,0,83.83
#170699,8.08,8.17,8.08,8.17,8,8,10,10,10,8,0,86.5
1,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,,90.58
2,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,,89.92
3,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,,89.75
4,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,,89
5,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,,88.83
6,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,,88.83
7,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,,88.75
8,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,,88.67
9,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,,88.42
10,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,,88.25
11,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,,88.08
12,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,,87.92
13,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,,87.92
14,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,,87.92
15,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,,87.83
16,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,,87.58
17,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,,87.42
18,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,,87.33
19,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,,87.25
20,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,,87.25
21,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,,87.25
22,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,,87.17
